Unique ID,Name,Honoree,City,County,State,Side,Coordinates,Symbol Type,Symbol Category,Sponsor,Year Dedicated,Year Removed,Was this symbol removed?
1802,Confederate Monument,No specific honoree,Albertville,Marshall,AL,South,"34.268061, -86.210379",Monument,Courthouse Grounds,Sons of Confederate Veterans,1996,,Active
2154,Confederate Heroes Monument,No specific honoree,Alexander City,Tallapoosa,AL,South,"32.922952, -85.977706",Monument,Other: Monument,United Daughters of the Confederacy,1923,,Active
44,Major John Pelham Monument,John Pelham,Anniston,Calhoun,AL,South,"33.659631, -85.826700",Monument,Other: Monument,Dr. Clarence J. Owens,1905,,Active
75,Confederate Monument,No specific honoree,Ashville,St. Clair,AL,South,"33.836704, -86.254769",Monument,Courthouse Grounds,United Daughters of the Confederacy,1923,,Active
76,Confederate Soldier Monument,No specific honoree,Athens,Limestone,AL,South,"34.803130, -86.971613",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Active
2221,The Auburn Guards Review Monument,No specific honoree,Auburn,Lee,AL,South,"32.610290, -85.480418",Monument,Other: Monument,United Daughters of the Confederacy,1914,,Active
1822,Baldwin County Seal,No specific honoree,Bay Minette,Baldwin,AL,South,"30.548848, -87.717586",Seal,"Other: Flags, Etc.",Unknown,Unknown,Changed battle flag to first national flag,Active
93,City of Beauregard,Pierre Gustave Toutant-Beauregard,Beauregard,Lee,AL,South,"32.543419, -85.370948",City,Other: County/Municipality ,Unknown,Unknown,,Active
45,Confederate Soldiers and Sailors Monument,No specific honoree,Birmingham,Jefferson,AL,South,"33.520755, -86.809902",Monument,Other: Monument,United Daughters of the Confederacy,1905,,Active
101,Jefferson Davis Community College,Jefferson Davis,Brewton,Escambia,AL,South,"31.101312, -87.085382",School,Schools,Unknown,1965,2017,Removed
77,Confederate Monument,No specific honoree,Butler,Choctaw,AL,South,"32.089505, -88.221657",Monument,Courthouse Grounds,United Daughters of the Confederacy,1937,,Active
78,Confederate Monument,No specific honoree,Carrollton,Pickens,AL,South,"33.261693, -88.095029",Monument,Courthouse Grounds,Friends and patriotic citizens of Pickens County,1927,,Active
79,Confederate Monument,No specific honoree,Centre,Cherokee,AL,South,"34.152201, -85.678926",Monument,Courthouse Grounds,Sons of Confederate Veterans,1988,,Active
80,Confederate Monument,No specific honoree,Centreville,Bibb,AL,South,"32.945272, -87.135436",Monument,Courthouse Grounds,United Daughters of the Confederacy,1910,,Active
4,Chilton County,William Parish Chilton,Clanton,Chilton,AL,South,"32.840129, -86.629666",County,Other: County/Municipality ,Unknown,1874,,Active
94,City of Clanton,James H. Clanton,Clanton,Chilton,AL,South,"32.839569, -86.629694",City,Other: County/Municipality ,Unknown,1868,,Active
2167,Confederate Soldiers Monument,No specific honoree,Clayton,Barbour,AL,South,"31.878110, -85.449489",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Active
11,Beauregard Street,Pierre Gustave Toutant-Beauregard,Dauphin Island,Mobile,AL,South,"30.247580, -88.094194",Highway / Roadway,Roads,Unknown,Unknown,,Active
81,Confederate Monument,No specific honoree,Decatur,Morgan,AL,South,"34.606831, -86.985015",Monument,Courthouse Grounds,United Daughters of the Confederacy,1922,,Active
1,Wheeler Dam,Joseph Wheeler,Decatur,Limestone,AL,South,"34.807267, -87.382190",Body of Water,"Other: Parks/Trails, Etc.",Unknown,1936,,Active
48,Breastworks Confederate Memorial,No specific honoree,Demopolis,Marengo,AL,South,"32.510368, -87.841312",Monument,Other: Monument,United Daughters of the Confederacy,1941,,Active
47,Confederate Monument,No specific honoree,Demopolis,Marengo,AL,South,"32.510361, -87.841361",Monument,Other: Monument,United Daughters of the Confederacy,1910,,Active
96,Confederate Park,No specific honoree,Demopolis,Marengo,AL,South,"32.517778, -87.838379",Park,"Other: Parks/Trails, Etc.",United Daughters of the Confederacy,1923,,Active
49,Confederate Monument,No specific honoree,Eufaula,Barbour,AL,South,"31.893015, -85.145715",Monument,Other: Monument,United Daughters of the Confederacy,1904,,Active
33,Jeff Davis Street,Jefferson Davis,Fairhope,Baldwin,AL,South,"30.528577, -87.884626",Highway / Roadway,Roads,Unknown,Unknown,,Active
82,Confederate Monument,No specific honoree,Fayette,Fayette,AL,South,"33.685178, -87.831207",Monument,Courthouse Grounds,United Daughters of the Confederacy,1929,,Active
83,Confederate Monument,No specific honoree,Florence,Lauderdale,AL,South,"34.799040, -87.675443",Monument,Courthouse Grounds,Ladies Memorial Association,1903,,Active
97,McFarland Park and Recreation Area,Robert McFarland,Florence,Lauderdale,AL,South,"34.785212, -87.680529",Park,"Other: Parks/Trails, Etc.",Unknown,Unknown,,Active
50,Confederate Monument,No specific honoree,Fort Payne,DeKalb,AL,South,"34.444020, -85.719553",Monument,Other: Monument,Sons and Daughters of Confederate Soldiers,1913,,Active
43,Fort Rucker,Edmund Rucker,Fort Rucker,Dale,AL,South,"31.339996, -85.712824",Military Base,Other: Buildings,U.S. Army,1942,,Active
51,Emma Sansom Monument,Nathan Bedford Forrest,Gadsden,Etowah,AL,South,"34.011170, -85.999667",Monument,Other: Monument,City of Gadsden,1907,,Active
52,Turkey Town Monument,No specific honoree,Gadsden,Etowah,AL,South,"34.066312, -85.928552",Monument,Other: Monument,Sons of Confederate Veterans,1992,,Active
24,Robert E. Lee Drive,Robert E. Lee,Gardendale,Jefferson,AL,South,"33.733602, -86.884543",Highway / Roadway,Roads,Unknown,Unknown,,Active
84,Confederate Monument,No specific honoree,Greensboro,Hale,AL,South,"32.703982, -87.592450",Monument,Courthouse Grounds,Ladies Memorial Association,1904,,Active
5,Hale County,Stephen F. Hale,Greensboro,Hale,AL,South,"32.703748, -87.592427",County,Other: County/Municipality ,Unknown,1867,,Active
53,Butler County Confederate Monument,No specific honoree,Greenville,Butler,AL,South,"31.829067, -86.623017",Monument,Other: Monument,United Daughters of the Confederacy,1903,,Active
98,Confederate Park,No specific honoree,Greenville,Butler,AL,South,"31.829374, -86.623011",Park,"Other: Parks/Trails, Etc.",United Daughters of the Confederacy and City of Greenville,1897,,Active
54,Confederate Veterans Bicentennial Memorial,No specific honoree,Hamilton,Marion,AL,South,"34.142160, -87.988839",Monument,Other: Monument,"Judge James F. Shotts Senior, Colonel U.S.A.R. Retired 1952",1977,,Active
71,The Soldier Dead of Lowndes,No specific honoree,Hayneville,Lowndes,AL,South,"32.183797, -86.580356",Monument,Other: Monument,United Daughters of the Confederacy,Unknown,,Active
55,Henry County Confederate Memorial,No specific honoree,Headland,Henry,AL,South,"31.352090, -85.342587",Monument,Other: Monument,United Daughters of the Confederacy,1936,,Active
2113,World War I and Confederate Monument,No specific honoree,Headland,Henry,AL,South,"31.352103, -85.342357",Monument,Other: Monument,United Daughters of the Confederacy,1926,,Active
6,Cleburne County,Patrick Cleburne,Heflin,Cleburne,AL,South,"33.644490, -85.584200",County,Other: County/Municipality ,Unknown,1866,,Active
25,Robert E. Lee Drive,Robert E. Lee,Hodges,Franklin,AL,South,"34.328267, -87.934417",Highway / Roadway,Roads,Unknown,Unknown,,Active
85,Confederate Veterans Memorial,No specific honoree,Huntsville,Madison,AL,South,"34.730297, -86.585074",Monument,Courthouse Grounds,United Daughters of the Confederacy,1905,,Active
107,Lee High School,Robert E. Lee,Huntsville,Madison,AL,South,"34.755095, -86.578195",School,Schools,Unknown,1958,,Active
56,Confederate Monument,No specific honoree,Jacksonville,Calhoun,AL,South,"33.813806, -85.761289",Monument,Other: Monument,United Daughters of the Confederacy,1909,,Active
86,Confederate Monument,No specific honoree,Jasper,Walker,AL,South,"33.832425, -87.277152",Monument,Courthouse Grounds,United Daughters of the Confederacy,1907,,Active
2108,Forrest Captures Streight Monument,Nathan Bedford Forrest,Lawrence,Lawrence,AL,South,"34.234250, -85.540283",Monument,Other: Monument,United Daughters of the Confederacy,1939,,Active
13,Robert E. Lee Street,Robert E. Lee,Leeds,Jefferson,AL,South,"33.540289, -86.563132",Highway / Roadway,Roads,Unknown,Unknown,,Active
87,Confederate Monument,No specific honoree,Livingston,Sumter,AL,South,"32.582667, -88.188100",Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Active
30,Forrest Drive,Nathan Bedford Forrest,Livingston,Sumter,AL,South,"32.568808, -88.213738",Highway / Roadway,Roads,Unknown,Unknown,,Active
28,Hood Street,John Bell Hood,Livingston,Sumter,AL,South,"32.567496, -88.214500",Highway / Roadway,Roads,Unknown,Unknown,,Active
26,Jefferson Davis Drive,Jefferson Davis,Livingston,Sumter,AL,South,"32.565678, -88.213255",Highway / Roadway,Roads,Unknown,Unknown,,Active
27,Lee Street,Robert E. Lee,Livingston,Sumter,AL,South,"32.566509, -88.213330",Highway / Roadway,Roads,Unknown,Unknown,,Active
3001,Longstreet Dr,James Longstreet,Livingston,Sumter,AL,South,"32.567039, -88.215476",Highway / Roadway,Roads,Unknown,Unknown,,Active
32,Morgan Drive,John Hunt Morgan,Livingston,Sumter,AL,South,"32.568515, -88.215304",Highway / Roadway,Roads,Unknown,Unknown,,Active
31,Stonewall Street,"Thomas Jonathan ""Stonewall"" Jackson",Livingston,Sumter,AL,South,"32.568722, -88.216334",Highway / Roadway,Roads,Unknown,Unknown,,Active
99,Confederate Memorial Park,No specific honoree,Marbury,Autauga,AL,South,"32.718827, -86.474056",Park,"Other: Parks/Trails, Etc.",State of Alabama,1964,,Active
36,Confederate Parkway,No specific honoree,McCalla,Tuscaloosa,AL,South,"33.250051, -87.071044",Highway / Roadway,Roads,Unknown,Unknown,,Active
2170,Confederate States of America Monument,No specific honoree,McCalla,Tuscaloosa,AL,South,"33.250367, -87.069633",Monument,Other: Monument,Unknown,1980,,Active
2188,Iron Foundries and Makers Flagpoles,No specific honoree,McCalla,Tuscaloosa,AL,South,"33.247967, -87.067800",Monument,Other: Monument,Military Order of the Stars and Bars,1996,,Active
2225,William and Owen Forge Marker,No specific honoree,McCalla,Tuscaloosa,AL,South,"33.247933, -87.067800",Marker,Other: Monument,United Daughters of the Confederacy,2014,,Active
12,Robert E. Lee Drive,Robert E. Lee,Millbrook,Elmore,AL,South,"32.493083, -86.367970",Highway / Roadway,Roads,Unknown,Unknown,,Active
58,Robinson Springs Camp Confederate Monument,No specific honoree,Millbrook,Elmore,AL,South,"32.513694, -86.375944",Monument,Other: Monument,United Confederate Veterans,1913,,Active
60,Admiral Raphael Semmes Statue,Raphael Semmes,Mobile,Mobile,AL,South,"30.690331, -88.039952",Monument,Other: Monument,Unknown,1900,,Active
23,Beauregard Street,Pierre Gustave Toutant-Beauregard,Mobile,Mobile,AL,South,"30.698853, -88.048766",Highway / Roadway,Roads,Unknown,Unknown,,Active
21,Forrest Street,Nathan Bedford Forrest,Mobile,Mobile,AL,South,"30.657773, -88.078828",Highway / Roadway,Roads,Unknown,Unknown,,Active
